Respondent_ID,Age_Range,Gender,Disability_Status,Location_Type,Country,African_Region,Value_Chain,Organization_Name,Organization_Type,Complement_Existing_Platforms_Score,Framework_Inclusivity_Score,Governance_Transparency_Score,Membership_Clarity_Score,Stakeholder_Participation_Score,Trust_Building_Score,Finance_Barrier_Score,Land_Access_Barrier_Score,Climate_Risk_Score,Technology_Barrier_Score,Funding_Support_Need,Land_Ownership_Importance,Early_Warning_Importance,Capacity_Building_Need,Technology_Intervention_Need,KPI_Alignment_Score,Impact_Measurement_Score,Gender_Data_Promotion_Score,Continuous_Learning_Score,Reporting_Level,Resource_Mobilization_Score,Funding_Diversification_Score,Partnership_Strategy_Score,Knowledge_Sharing_Score,Government_Partner,Private_Sector_Partner,International_Org_Partner,Academia_Partner,Farmers_Association_Partner,CSO_Partner,Staffing_Readiness_Score,Communication_Readiness_Score,Women_Involvement_Score,Hybrid_Platform_Readiness_Score,Strategic_Alignment_Score,Lessons_Learned_Text,Innovation_Recommendations_Text,Inclusivity_Recommendations_Text,Vulnerability_Index,Governance_Readiness_Score,Sustainability_Score,MELAR_Readiness_Score,Intervention_Priority,Avg_Barrier_Score,Avg_Readiness_Score,Avg_Need_Score,Readiness_Gap,Rural_Female,Young_Respondent,Disability_Flag,Total_Partners,Priority_Ordinal,Gov_High,Sus_High,Exclusion_Risk_Score,Risk_Level,Cluster,WAEI_Participation,WAEI_Governance,WAEI_Resilience,WAEI_Sustainability,WAEI_Inclusion,WAEI_Score,Recommendations,Urgency,Num_Interventions
RESP_00011,18-35,Female,No,Urban,Nigeria,West Africa,Processing,SeedFuture Institute,Government Agency,3,4,5,4,4,3,5,4,4,2,4,4,4,5,4,4,5,4,5,Regional,4,3,4,5,1,0,1,1,0,0,4,4,4,5,4,Need stronger digital extension systems for women farmers,Create women-focused digital financing systems,Strengthen gender-responsive technology access,3.75,4.25,4.0,4.5,High,3.75,4.2,4.2,-0.45,0,1,0,3,2,1,1,2.45,Low,1,66.66666666666666,72.72727272727273,35.71428571428571,60.0,66.66666666666666,60.99,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Capacity building programme enrolment,High,4
RESP_00012,36-45,Female,No,Semi-Urban,Gabon,Central Africa,Production,GreenVine Partners,NGO,5,5,3,4,4,4,5,3,4,4,5,4,4,5,4,5,3,3,5,Sub-national,4,4,4,4,1,0,0,0,0,1,3,4,4,4,4,Funding access remains difficult for rural women cooperatives,Create women-focused digital financing systems,Expand awareness campaigns in rural communities,4.0,4.0,4.0,4.0,High,4.0,3.8,4.4,0.2,0,0,0,2,2,1,1,2.7,Moderate,0,66.66666666666666,63.63636363636363,28.57142857142857,60.0,100.0,60.62,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,5
RESP_00013,36-45,Male,No,Rural,Zimbabwe,Southern Africa,Agri-Tech,Ubuntu Agri Network,NGO,4,4,4,3,4,4,3,4,5,4,3,3,3,4,4,5,5,4,4,Continental,3,3,4,4,0,0,0,0,1,1,3,4,5,4,4,Local partnerships improve sustainability and trust,Introduce AI-supported climate monitoring systems,Promote women leadership representation,4.0,3.75,3.5,4.5,High,4.0,4.0,3.4,0.0,0,0,0,2,2,0,0,2.65,Moderate,0,100.0,54.54545454545454,28.57142857142857,40.0,66.66666666666666,62.02,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,5
RESP_00014,18-35,Male,No,Rural,Ghana,West Africa,Services,AgriLink Cooperative,Women Cooperative,3,4,4,4,5,5,5,4,5,4,5,4,5,5,5,3,3,4,3,Sub-national,3,3,4,4,1,0,0,1,0,0,5,5,4,3,4,Climate adaptation training should be expanded,Support aggregation and funding of agricultural research,Increase disability-inclusive participation frameworks,4.5,4.25,3.5,3.25,Critical,4.5,4.2,4.8,0.3,0,1,0,2,3,1,0,2.9,Moderate,0,66.66666666666666,72.72727272727273,14.285714285714292,40.0,66.66666666666666,53.71,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00015,46-60,Female,No,Rural,South Africa,Southern Africa,Production,BushVeld Research,Government Agency,5,4,3,5,3,3,2,5,5,4,5,4,4,5,3,4,4,5,4,Continental,3,2,5,4,0,0,0,0,1,0,3,5,4,5,4,Climate adaptation training should be expanded,Introduce AI-supported climate monitoring systems,Improve equitable funding access mechanisms,4.0,3.75,3.5,4.25,High,4.0,4.2,4.2,-0.2,1,0,0,1,2,0,0,2.9,Moderate,0,66.66666666666666,54.54545454545454,28.57142857142857,40.0,66.66666666666666,52.02,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00016,36-45,Female,No,Semi-Urban,Egypt,Northern Africa,Marketing,Oasis Farm Group,Farmers Association,5,3,4,4,5,3,5,4,4,4,4,3,4,5,5,4,5,3,3,National,4,4,4,3,0,1,1,0,1,1,4,3,5,4,3,Technology adoption is improving productivity outcomes,Deploy mobile agricultural advisory platforms,Increase disability-inclusive participation frameworks,4.25,4.0,3.75,3.75,High,4.25,3.8,4.2,0.45,0,0,0,4,2,1,1,2.85,Moderate,0,100.0,63.63636363636363,21.42857142857143,50.0,33.33333333333333,61.03,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00017,18-35,Female,No,Rural,Cameroon,Central Africa,Production,Sunrise Food Systems,Farmers Association,4,4,2,3,4,3,4,4,4,5,4,3,5,4,4,4,4,4,4,National,4,3,4,4,1,0,1,1,0,1,2,3,5,5,4,Need stronger digital extension systems for women farmers,Introduce AI-supported climate monitoring systems,Strengthen gender-responsive technology access,4.25,3.25,3.75,4.0,High,4.25,3.8,4.0,0.45,1,1,0,4,2,0,1,3.15,High,0,100.0,36.36363636363637,21.42857142857143,50.0,66.66666666666666,57.54,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00018,18-35,Female,No,Semi-Urban,Nigeria,West Africa,Marketing,FarmFirst Alliance,Farmers Association,3,3,3,4,3,3,5,3,5,4,4,3,5,5,4,5,4,4,5,National,4,3,4,3,1,1,0,0,1,1,3,5,5,3,4,Need stronger digital extension systems for women farmers,Deploy mobile agricultural advisory platforms,Strengthen gender-responsive technology access,4.25,3.25,3.5,4.5,High,4.25,4.0,4.2,0.25,0,1,0,4,2,0,0,2.8,Moderate,0,100.0,36.36363636363637,21.42857142857143,40.0,33.33333333333333,52.71,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,5
RESP_00019,36-45,Female,No,Rural,Tanzania,East Africa,Production,Horizon Food Systems,NGO,3,4,4,4,4,3,3,4,4,4,4,5,4,4,4,5,3,5,4,Regional,4,3,3,3,0,1,0,1,0,0,4,4,4,4,3,Technology adoption is improving productivity outcomes,Scale youth agritech incubation hubs,Increase disability-inclusive participation frameworks,3.75,4.0,3.25,4.25,High,3.75,3.8,4.2,-0.05,1,0,0,2,2,1,0,2.85,Moderate,0,66.66666666666666,63.63636363636363,35.71428571428571,30.0,66.66666666666666,54.22,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Capacity building programme enrolment,High,5
RESP_00020,18-35,Female,No,Semi-Urban,Botswana,Southern Africa,Others,Grassroots AgriCo,Research Institution,4,5,4,3,5,3,3,2,3,4,5,5,2,4,5,4,4,4,4,Regional,4,4,4,4,0,0,0,1,0,0,3,4,4,4,4,Technology adoption is improving productivity outcomes,Create women-focused digital financing systems,Expand awareness campaigns in rural communities,3.0,4.25,4.0,4.0,Moderate,3.0,3.8,4.2,-0.8,0,1,0,1,1,1,1,2.1,Low,1,66.66666666666666,72.72727272727273,57.142857142857146,60.0,100.0,68.61,Digital literacy & agri-tech platform access | Capacity building programme enrolment,High,2
RESP_00021,46-60,Female,No,Urban,Botswana,Southern Africa,Processing,EcoFarm Network,Farmers Association,4,3,5,3,3,4,3,5,4,2,5,5,4,4,5,2,4,5,3,Sub-national,5,4,4,5,1,1,0,0,0,0,5,4,4,3,3,Local partnerships improve sustainability and trust,Scale youth agritech incubation hubs,Strengthen gender-responsive technology access,3.5,3.5,4.5,3.5,Moderate,3.5,3.8,4.6,-0.3,0,0,0,2,1,0,1,2.4,Low,1,66.66666666666666,45.45454545454545,42.85714285714286,80.0,33.33333333333333,55.27,Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Capacity building programme enrolment,Routine,3
RESP_00022,36-45,Female,No,Rural,Senegal,West Africa,Marketing,Baobab Cooperative,NGO,4,5,4,3,4,3,5,4,5,4,4,4,5,4,5,5,4,5,3,Continental,3,2,5,5,1,0,1,0,0,1,4,4,4,5,4,Technology adoption is improving productivity outcomes,Scale youth agritech incubation hubs,Promote women leadership representation,4.5,4.0,3.75,4.25,Critical,4.5,4.2,4.4,0.3,1,0,0,3,3,1,1,3.2,High,0,66.66666666666666,63.63636363636363,14.285714285714292,50.0,100.0,56.27,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00023,18-35,Female,No,Rural,Egypt,Northern Africa,Production,Sahel Solutions Ltd,Government Agency,4,5,3,5,5,4,3,5,5,5,4,4,4,5,3,5,4,4,3,Regional,3,4,4,3,1,1,0,1,1,0,3,4,5,4,3,Technology adoption is improving productivity outcomes,Support aggregation and funding of agricultural research,Strengthen gender-responsive technology access,4.5,4.5,3.5,4.0,Critical,4.5,3.8,4.0,0.7,1,1,0,4,3,1,0,3.3,High,0,100.0,81.81818181818183,14.285714285714292,40.0,100.0,69.31,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00024,18-35,Female,No,Rural,Chad,Central Africa,Services,EcoFarm Network,Private Agribusiness,4,5,3,5,4,3,4,4,3,4,5,4,4,4,4,4,4,4,4,Regional,3,3,4,4,1,1,0,1,1,0,5,2,5,5,3,Local partnerships improve sustainability and trust,Support aggregation and funding of agricultural research,Improve equitable funding access mechanisms,3.75,4.25,3.5,4.0,High,3.75,4.0,4.2,-0.25,1,1,0,4,2,1,0,2.8,Moderate,0,100.0,72.72727272727273,35.71428571428571,40.0,100.0,71.32,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Capacity building programme enrolment,High,5
RESP_00025,36-45,Female,No,Rural,Zimbabwe,Southern Africa,Others,Afri-Impact NGO,Private Agribusiness,5,5,3,5,5,3,3,4,4,4,4,5,3,5,4,4,4,5,4,Regional,5,3,4,5,0,1,1,0,0,1,3,4,3,4,4,Funding access remains difficult for rural women cooperatives,Introduce AI-supported climate monitoring systems,Expand awareness campaigns in rural communities,3.75,4.5,4.25,4.25,High,3.75,3.6,4.2,0.15,1,0,0,3,2,1,1,2.9,Moderate,0,33.33333333333333,81.81818181818183,35.71428571428571,70.0,100.0,58.1,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Capacity building programme enrolment,High,5
RESP_00026,46-60,Female,Yes,Rural,Nigeria,West Africa,Services,Sahel Solutions Ltd,Private Agribusiness,4,3,2,5,3,5,4,5,4,3,5,4,4,5,4,5,4,4,4,Regional,4,4,3,3,1,1,1,0,0,0,4,4,4,4,4,Need stronger digital extension systems for women farmers,Create women-focused digital financing systems,Expand awareness campaigns in rural communities,4.0,3.25,3.5,4.25,High,4.0,4.0,4.4,0.0,1,0,1,3,2,0,0,3.45,High,0,66.66666666666666,36.36363636363637,28.57142857142857,40.0,33.33333333333333,44.14,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Disability-inclusive programme design & access accommodations | Capacity building programme enrolment,Critical,7
RESP_00027,46-60,Female,No,Rural,Ethiopia,East Africa,Others,AfroHarvest Initiative,Research Institution,3,5,4,4,4,5,4,4,5,4,5,5,3,4,4,4,4,4,4,National,3,3,3,3,1,1,1,0,1,1,3,3,5,3,5,Technology adoption is improving productivity outcomes,Introduce AI-supported climate monitoring systems,Strengthen gender-responsive technology access,4.25,4.25,3.0,4.0,High,4.25,3.8,4.2,0.45,1,0,0,5,2,1,0,3.15,High,0,100.0,72.72727272727273,21.42857142857143,20.0,100.0,65.47,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00028,18-35,Female,No,Semi-Urban,Algeria,Northern Africa,Marketing,ProAgri Associates,Women Cooperative,4,5,3,4,5,3,4,3,3,4,4,5,4,5,5,4,4,5,4,National,3,3,4,4,0,0,0,0,1,0,4,4,3,4,4,Funding access remains difficult for rural women cooperatives,Deploy mobile agricultural advisory platforms,Promote women leadership representation,3.5,4.25,3.5,4.25,Moderate,3.5,3.8,4.6,-0.3,0,1,0,1,1,1,0,2.4,Low,1,33.33333333333333,72.72727272727273,42.85714285714286,40.0,100.0,52.75,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Capacity building programme enrolment,High,3
RESP_00029,18-35,Female,No,Semi-Urban,Chad,Central Africa,Others,EcoFarm Network,Government Agency,3,4,3,4,4,3,5,4,4,4,4,5,4,5,4,4,5,4,4,Continental,3,3,4,4,1,1,0,1,1,1,3,5,4,4,4,Local partnerships improve sustainability and trust,Support aggregation and funding of agricultural research,Improve equitable funding access mechanisms,4.25,3.75,3.5,4.25,High,4.25,4.0,4.4,0.25,0,1,0,5,2,0,0,2.8,Moderate,0,66.66666666666666,54.54545454545454,21.42857142857143,40.0,66.66666666666666,50.59,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00030,36-45,Female,No,Semi-Urban,Morocco,Northern Africa,Agri-Finance,Continental Agri Ltd,Private Agribusiness,5,4,4,5,4,5,4,3,5,2,5,4,4,5,5,4,4,4,3,Sub-national,3,3,3,4,0,1,0,0,1,0,4,5,4,4,4,Need stronger digital extension systems for women farmers,Create women-focused digital financing systems,Expand awareness campaigns in rural communities,3.5,4.25,3.25,3.75,Moderate,3.5,4.2,4.6,-0.7,0,0,0,2,1,1,0,2.3,Low,1,66.66666666666666,72.72727272727273,42.85714285714286,30.0,66.66666666666666,57.92,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Capacity building programme enrolment,High,3
RESP_00031,18-35,Female,No,Rural,DR Congo,Central Africa,Others,Sahel Solutions Ltd,Research Institution,4,4,3,5,4,4,5,5,4,5,4,4,4,5,5,4,3,5,4,National,4,4,3,5,1,1,0,1,0,0,5,3,4,4,4,Technology adoption is improving productivity outcomes,Introduce AI-supported climate monitoring systems,Increase disability-inclusive participation frameworks,4.75,4.0,4.0,4.0,Critical,4.75,4.0,4.4,0.75,1,1,0,3,3,1,1,3.4,High,0,66.66666666666666,63.63636363636363,7.142857142857139,60.0,66.66666666666666,53.0,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00032,18-35,Female,No,Urban,Nigeria,West Africa,Processing,Grassroots AgriCo,Research Institution,3,4,3,5,4,4,5,5,3,2,4,5,5,4,4,5,4,5,4,Continental,3,4,5,5,0,1,1,1,0,0,4,5,5,5,4,Funding access remains difficult for rural women cooperatives,Scale youth agritech incubation hubs,Increase disability-inclusive participation frameworks,3.75,4.0,4.25,4.5,High,3.75,4.6,4.4,-0.85,0,1,0,3,2,1,1,2.35,Low,1,100.0,63.63636363636363,35.71428571428571,70.0,66.66666666666666,70.22,Agricultural credit & microfinance access | Land rights advocacy & documentation support | Capacity building programme enrolment,High,3
RESP_00033,46-60,Female,No,Urban,Egypt,Northern Africa,Agri-Finance,Continental Agri Ltd,Farmers Association,4,4,4,5,4,4,3,3,4,2,4,5,4,5,4,4,4,5,4,Continental,4,4,4,4,0,0,1,0,0,1,4,5,4,4,4,Climate adaptation training should be expanded,Create women-focused digital financing systems,Strengthen gender-responsive technology access,3.0,4.25,4.0,4.25,Moderate,3.0,4.2,4.4,-1.2,0,0,0,2,1,1,1,2.0,Low,1,66.66666666666666,72.72727272727273,57.142857142857146,60.0,66.66666666666666,65.28,Climate-smart agriculture & early warning systems | Capacity building programme enrolment,Routine,2
RESP_00034,36-45,Female,No,Rural,Senegal,West Africa,Marketing,Sunrise Food Systems,Private Agribusiness,4,4,5,5,3,2,5,3,4,5,5,4,3,5,4,4,3,5,4,Sub-national,4,5,3,3,0,1,0,1,1,1,3,4,4,4,4,Local partnerships improve sustainability and trust,Support aggregation and funding of agricultural research,Strengthen gender-responsive technology access,4.25,4.25,3.75,4.0,High,4.25,3.8,4.2,0.45,1,0,0,4,2,1,1,3.15,High,0,66.66666666666666,72.72727272727273,21.42857142857143,50.0,66.66666666666666,56.63,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00035,46-60,Female,No,Urban,Botswana,Southern Africa,Services,Baobab Cooperative,Government Agency,4,4,4,4,4,5,2,4,3,3,5,5,4,5,4,5,4,3,4,Sub-national,3,4,4,4,1,0,1,1,0,1,2,4,3,3,5,Funding access remains difficult for rural women cooperatives,Scale youth agritech incubation hubs,Strengthen gender-responsive technology access,3.0,4.0,3.75,4.0,Moderate,3.0,3.4,4.6,-0.4,0,0,0,4,1,1,1,2.2,Low,1,33.33333333333333,63.63636363636363,57.142857142857146,50.0,66.66666666666666,51.5,Land rights advocacy & documentation support | Capacity building programme enrolment,Routine,2
